"X1" "X2"
"1" "4315.24427277571" "7539.95567394779"
"2" "5202.86963239211" "7666.75929675013"
"3" "6597.7094832179" "8723.45615343633"
"4" "8203.88870538093" "9695.61726158764"
"5" "9387.38918486947" "10583.2426212040"
"6" "10317.2824187533" "8152.83985082579"
"7" "10401.8181672882" "7518.82173681407"
"8" "10275.0145444859" "6673.4642514651"
"9" "10232.7466702184" "5743.57101758125"
"10" "10380.6842301545" "4792.54384656367"
"11" "10528.6217900906" "3122.96281299947"
"12" "10042.5412360149" "2848.22163026105"
"13" "8225.02264251465" "3989.45423548215"
"14" "7527.60271710176" "5680.16920618007"
"15" "6893.58460309004" "6018.31220031966"
"16" "5667.81624933404" "5891.50857751731"
"17" "4674.52120404901" "5828.10676611614"
"18" "4484.3157698455" "6081.71401172083"
